"latitude","longitude","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_name","arms","immersion_season","recovery_season","imm_time"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","F",5,"U","CINARMS","CINARMS5_5U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","F",6,"D","CINARMS","CINARMS5_6D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","O",6,"U","CINARMS","CINARMS5_6U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","O",7,"D","CINARMS","CINARMS5_7D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"H","F",7,"U","CINARMS","CINARMS5_7U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"H","F",8,"D","CINARMS","CINARMS5_8D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"H","O",8,"U","CINARMS","CINARMS5_8U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"H","O",9,"D","CINARMS","CINARMS5_9D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"B","F",1,"U","CINARMS","CINARMS6_1U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"B","F",2,"D","CINARMS","CINARMS6_2D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"B","O",2,"U","CINARMS","CINARMS6_2U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"B","O",3,"D","CINARMS","CINARMS6_3D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","F",3,"U","CINARMS","CINARMS6_3U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","F",4,"D","CINARMS","CINARMS6_4D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","O",4,"U","CINARMS","CINARMS6_4U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","O",5,"D","CINARMS","CINARMS6_5D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","F",5,"U","CINARMS","CINARMS6_5U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","F",6,"D","CINARMS","CINARMS6_6D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","O",6,"U","CINARMS","CINARMS6_6U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"M","O",7,"D","CINARMS","CINARMS6_7D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"H","F",7,"U","CINARMS","CINARMS6_7U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"H","F",8,"D","CINARMS","CINARMS6_8D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"H","O",8,"U","CINARMS","CINARMS6_8U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS6","CINA","CINA2C",6,"H","O",9,"D","CINARMS","CINARMS6_9D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"B","F",1,"U","CINARMS","CINARMS7_1U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"B","F",2,"D","CINARMS","CINARMS7_2D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"B","O",2,"U","CINARMS","CINARMS7_2U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"B","O",3,"D","CINARMS","CINARMS7_3D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","F",3,"U","CINARMS","CINARMS7_3U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","F",4,"D","CINARMS","CINARMS7_4D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","O",4,"U","CINARMS","CINARMS7_4U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","O",5,"D","CINARMS","CINARMS7_5D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","F",5,"U","CINARMS","CINARMS7_5U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","F",6,"D","CINARMS","CINARMS7_6D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","O",6,"U","CINARMS","CINARMS7_6U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"M","O",7,"D","CINARMS","CINARMS7_7D.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"H","F",7,"U","CINARMS","CINARMS7_7U.jpg","CINA3","imm_cold","rec_hot","6m"
-21.10401,55.23598,NA,"CINARMS7","CINA","CINA3A",7,"H","F",8,"D","CINARMS","CINARMS7_8D.jpg","CINA3","imm_cold","rec_hot","6m"
